DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
"131117",131117,,Transmission,Mk10,2,04:37:26 29-Feb-2016,04:38:38 29-Feb-2016,Dive,1,V,18.0,18.0,71,73,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,04:38:38 29-Feb-2016,04:38:40 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,2,04:38:40 29-Feb-2016,04:39:54 29-Feb-2016,Dive,1,V,33.5,34.0,73,75,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,04:39:54 29-Feb-2016,04:39:56 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,1,04:41:00 29-Feb-2016,05:38:56 29-Feb-2016,Message,10,,,,3466.000000,3486.000000,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,04:41:00 29-Feb-2016,04:42:48 29-Feb-2016,Dive,1,V,20.0,20.0,107,109,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,04:42:48 29-Feb-2016,04:50:06 29-Feb-2016,Surface,,,,,437,439,,,,,,,,,,,,,14,424
"131117",131117,,Transmission,Mk10,1,04:50:06 29-Feb-2016,04:51:44 29-Feb-2016,Dive,1,U,20.5,20.5,97,99,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,04:51:44 29-Feb-2016,04:51:58 29-Feb-2016,Surface,,,,,13,15,,,,,,,,,,,,,2,12
"131117",131117,,Transmission,Mk10,1,04:51:58 29-Feb-2016,04:54:06 29-Feb-2016,Dive,1,V,27.5,28.0,127,129,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,04:54:06 29-Feb-2016,05:28:08 29-Feb-2016,Surface,,,,,2041,2043,,,,,,,,,,,,,66,1976
"131117",131117,,Transmission,Mk10,1,05:28:08 29-Feb-2016,05:30:54 29-Feb-2016,Dive,1,V,20.0,20.0,165,167,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,05:30:54 29-Feb-2016,05:35:28 29-Feb-2016,Surface,,,,,273,275,,,,,,,,,,,,,9,265
"131117",131117,,Transmission,Mk10,1,05:35:28 29-Feb-2016,05:38:24 29-Feb-2016,Dive,1,Square,15.0,15.0,175,177,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,05:38:24 29-Feb-2016,05:38:56 29-Feb-2016,Surface,,,,,31,33,,,,,,,,,,,,,3,29
"131117",131117,,Transmission,Mk10,1,05:38:00 29-Feb-2016,07:39:26 29-Feb-2016,Message,10,,,,7276.000000,7296.000000,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,05:38:00 29-Feb-2016,05:40:56 29-Feb-2016,Dive,1,V,20.5,20.5,175,177,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,05:40:56 29-Feb-2016,05:55:34 29-Feb-2016,Surface,,,,,877,879,,,,,,,,,,,,,28,850
"131117",131117,,Transmission,Mk10,1,05:55:34 29-Feb-2016,05:58:44 29-Feb-2016,Dive,1,V,29.5,30.0,189,191,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,05:58:44 29-Feb-2016,06:00:26 29-Feb-2016,Surface,,,,,101,103,,,,,,,,,,,,,3,99
"131117",131117,,Transmission,Mk10,1,06:00:26 29-Feb-2016,06:03:38 29-Feb-2016,Dive,1,U,16.5,16.5,191,193,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,06:03:38 29-Feb-2016,06:08:36 29-Feb-2016,Surface,,,,,297,299,,,,,,,,,,,,,10,288
"131117",131117,,Transmission,Mk10,1,06:08:36 29-Feb-2016,06:10:16 29-Feb-2016,Dive,1,V,25.5,26.0,99,101,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,06:10:16 29-Feb-2016,06:15:16 29-Feb-2016,Surface,,,,,299,301,,,,,,,,,,,,,10,290
"131117",131117,,Transmission,Mk10,1,06:15:16 29-Feb-2016,06:18:46 29-Feb-2016,Dive,1,V,22.5,22.5,209,211,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,06:18:46 29-Feb-2016,07:39:26 29-Feb-2016,Surface,,,,,4839,4841,,,,,,,,,,,,,156,4684
"131117",131117,,Transmission,Mk10,1,07:41:00 29-Feb-2016,11:44:58 29-Feb-2016,Message,10,,,,14628.000000,14648.000000,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,07:41:00 29-Feb-2016,07:48:44 29-Feb-2016,Dive,1,U,83.0,84.5,463,465,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,07:48:44 29-Feb-2016,10:59:18 29-Feb-2016,Surface,,,,,11433,11435,,,,,,,,,,,,,369,11065
"131117",131117,,Transmission,Mk10,1,10:59:18 29-Feb-2016,11:05:50 29-Feb-2016,Dive,1,V,43.5,44.0,391,393,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,11:05:50 29-Feb-2016,11:07:34 29-Feb-2016,Surface,,,,,103,105,,,,,,,,,,,,,3,101
"131117",131117,,Transmission,Mk10,1,11:07:34 29-Feb-2016,11:18:54 29-Feb-2016,Dive,1,Square,16.5,16.5,679,681,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,11:18:54 29-Feb-2016,11:20:18 29-Feb-2016,Surface,,,,,83,85,,,,,,,,,,,,,5,79
"131117",131117,,Transmission,Mk10,1,11:20:18 29-Feb-2016,11:28:30 29-Feb-2016,Dive,1,V,69.0,70.5,491,493,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,11:28:30 29-Feb-2016,11:30:12 29-Feb-2016,Surface,,,,,101,103,,,,,,,,,,,,,7,95
"131117",131117,,Transmission,Mk10,1,11:30:12 29-Feb-2016,11:37:08 29-Feb-2016,Dive,1,U,19.5,19.5,415,417,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,11:37:08 29-Feb-2016,11:44:58 29-Feb-2016,Surface,,,,,469,471,,,,,,,,,,,,,15,455
"131117",131117,,Transmission,Mk10,3,11:43:00 29-Feb-2016,13:08:36 29-Feb-2016,Message,10,,,,5126.000000,5146.000000,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,3,11:43:00 29-Feb-2016,11:53:56 29-Feb-2016,Dive,1,V,41.5,42.0,655,657,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,3,11:53:56 29-Feb-2016,11:53:58 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,3,11:53:58 29-Feb-2016,12:02:08 29-Feb-2016,Dive,1,V,31.5,32.0,489,491,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,3,12:02:08 29-Feb-2016,12:29:20 29-Feb-2016,Surface,,,,,1631,1633,,,,,,,,,,,,,53,1579
"131117",131117,,Transmission,Mk10,3,12:29:20 29-Feb-2016,12:36:36 29-Feb-2016,Dive,1,Square,19.0,19.0,435,437,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,3,12:36:36 29-Feb-2016,12:36:38 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,3,12:36:38 29-Feb-2016,12:44:34 29-Feb-2016,Dive,1,Square,15.5,15.5,475,477,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,3,12:44:34 29-Feb-2016,12:59:28 29-Feb-2016,Surface,,,,,893,895,,,,,,,,,,,,,29,865
"131117",131117,,Transmission,Mk10,3,12:59:28 29-Feb-2016,13:08:14 29-Feb-2016,Dive,1,Square,15.0,15.0,525,527,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,3,13:08:14 29-Feb-2016,13:08:36 29-Feb-2016,Surface,,,,,21,23,,,,,,,,,,,,,2,20
"131117",131117,,Transmission,Mk10,1,13:09:00 29-Feb-2016,14:03:06 29-Feb-2016,Message,10,,,,3236.000000,3256.000000,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,13:09:00 29-Feb-2016,13:20:16 29-Feb-2016,Dive,1,Square,17.0,17.0,675,677,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,13:20:16 29-Feb-2016,13:20:54 29-Feb-2016,Surface,,,,,37,39,,,,,,,,,,,,,4,34
"131117",131117,,Transmission,Mk10,1,13:20:54 29-Feb-2016,13:29:52 29-Feb-2016,Dive,1,Square,17.0,17.0,537,539,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,13:29:52 29-Feb-2016,13:30:58 29-Feb-2016,Surface,,,,,65,67,,,,,,,,,,,,,4,62
