DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131120",131120,Mk10,DS,2,0,1,277,277,08:05:44 03-Mar-2016,N,B,-64.0230,-57.4690,,,8,,401677464,-129,
"131120",131120,Mk10,DS,6,0,6,75,69,08:42:57 03-Mar-2016,A,1,-64.0320,-57.3730,,,58,,401677465,-122,
"131120",131120,Mk10,DS,9,0,7,70,52,08:51:15 03-Mar-2016,K,2,-64.0130,-57.3590,,,46,,401677464,-121,
"131120",131120,Mk10,DS,2,0,2,207,207,10:21:46 03-Mar-2016,A,B,-64.0080,-57.0830,,,8,,401677461,-116,
"131120",131120,Mk10,DS,4,0,3,110,75,10:47:19 03-Mar-2016,R,0,-63.9930,-57.0950,,,46,,401677462,-121,
"131120",131120,Mk10,DS,1,0,1,,,11:17:13 03-Mar-2016,B,B,-63.9960,-57.0840,,,6,,401677460,-130,
"131120",131120,Mk10,DS,3,0,3,55,51,12:01:53 03-Mar-2016,A,A,-63.9430,-57.0230,,,8,,401677467,-116,
"131120",131120,Mk10,DS,3,0,1,53,49,12:24:41 03-Mar-2016,R,A,-63.9490,-57.0110,,,7,,401677480,-121,
"131120",131120,Mk10,DS,4,0,4,195,117,12:56:01 03-Mar-2016,B,2,-63.9360,-56.9740,,,58,,401677466,-132,
"131120",131120,Mk10,DS,3,0,3,124,75,13:42:06 03-Mar-2016,A,A,-63.9540,-57.0640,,,8,,401677471,-119,
"131120",131120,Mk10,DS,8,0,7,74,49,14:03:18 03-Mar-2016,R,1,-63.9900,-57.1810,,,46,,401677463,-127,
"131120",131120,Mk10,DS,1,0,1,,,15:24:26 03-Mar-2016,A,B,-63.9860,-57.1770,,,8,,401677462,-129,
"131120",131120,Mk10,DS,1,0,1,,,15:43:18 03-Mar-2016,R,B,-63.9880,-57.1630,,,8,,401677448,-137,
"131120",131120,Mk10,DS,1,0,1,,,16:58:44 03-Mar-2016,P,B,-63.9740,-57.0810,,,6,,401677501,-137,
"131120",131120,Mk10,DS,5,0,2,123,57,18:42:46 03-Mar-2016,P,2,-63.9670,-56.7780,,,58,,401677467,-124,
"131120",131120,Mk10,DS,3,0,1,118,62,18:57:20 03-Mar-2016,R,A,-63.9680,-56.8620,,,6,,401677455,-122,
"131120",131120,Mk10,DS,3,0,3,143,76,20:12:35 03-Mar-2016,N,A,-63.9420,-56.9160,,,7,,401677471,-133,
"131120",131120,Mk10,DS,4,0,4,152,83,20:22:54 03-Mar-2016,P,2,-63.9200,-56.8580,,,58,,401677468,-130,
"131120",131120,Mk10,DS,4,0,2,171,79,20:35:37 03-Mar-2016,R,0,-63.9170,-56.8470,,,46,,401677466,-119,
"131120",131120,Mk10,DS,1,0,1,,,20:57:21 03-Mar-2016,K,B,-63.9160,-56.8480,,,6,,401677474,-135,
"131120",131120,Mk10,DS,1,0,1,,,22:00:24 03-Mar-2016,N,B,-63.9000,-56.7850,,,8,,401677463,-132,
"131120",131120,Mk10,DS,2,0,1,177,177,22:07:02 03-Mar-2016,P,B,-63.9000,-56.7540,,,6,,401677461,-128,
"131120",131120,Mk10,DS,3,0,3,157,99,22:19:07 03-Mar-2016,R,A,-63.8950,-56.7160,,,6,,401677469,-124,
"131120",131120,Mk10,DS,5,0,5,126,80,22:34:40 03-Mar-2016,K,1,-63.9080,-56.5990,,,56,,401677465,-122,
"131120",131120,Mk10,DS,2,0,2,525,525,00:05:53 04-Mar-2016,A,B,-63.8860,-56.5530,,,8,,401677455,-133,
"131120",131120,Mk10,DS,3,0,1,242,62,00:14:19 04-Mar-2016,K,A,-63.9220,-56.6150,,,8,,401677464,-124,
"131120",131120,Mk10,DS,3,0,3,49,48,02:41:46 04-Mar-2016,B,A,-63.9270,-56.6370,,,8,,401677464,-126,
"131120",131120,Mk10,DS,2,0,2,341,341,02:55:23 04-Mar-2016,N,B,-63.9250,-56.6220,,,6,,401677462,-135,
"131120",131120,Mk10,DS,3,0,3,210,56,03:02:35 04-Mar-2016,P,A,-63.9240,-56.6160,,,6,,401677467,-131,
"131120",131120,Mk10,DS,3,0,3,154,144,03:26:55 04-Mar-2016,A,A,-63.9560,-56.6310,,,6,,401677467,-116,
"131120",131120,Mk10,DS,2,0,2,115,115,03:33:09 04-Mar-2016,K,B,-63.9260,-56.6360,,,8,,401677462,-137,
"131120",131120,Mk10,DS,2,0,1,233,233,04:31:48 04-Mar-2016,N,B,-63.9180,-56.7780,,,7,,401677482,-129,
