x,y,timestamp,ID,Behavior
-64.24200439,-64.88500214,2/5/2015 3:10,131146,Traveling
-64.28799438,-64.89900208,2/5/2015 3:57,131146,Traveling
-64.28201294,-64.90200043,2/5/2015 4:30,131146,Traveling
-64.28201294,-64.89900208,2/5/2015 4:32,131146,Traveling
-64.28799438,-64.89800262,2/5/2015 4:37,131146,Traveling
-64.32199097,-64.88899994,2/5/2015 5:39,131146,Traveling
-64.3210144,-64.88500214,2/5/2015 6:09,131146,Traveling
-64.3210144,-64.88600159,2/5/2015 6:10,131146,Traveling
-64.29901123,-64.88600159,2/5/2015 6:15,131146,Traveling
-64.30099487,-64.88500214,2/5/2015 7:14,131146,Traveling
-64.21600342,-64.89099884,2/5/2015 7:45,131146,Traveling
-64.30099487,-64.87999725,2/5/2015 7:47,131146,Traveling
-64.22299194,-64.88899994,2/5/2015 8:02,131146,Area-restricted Search
-64.1619873,-64.88899994,2/5/2015 8:53,131146,Area-restricted Search
-64.10400391,-64.89900208,2/5/2015 9:25,131146,Traveling
-64.10501099,-64.90100098,2/5/2015 9:29,131146,Traveling
-64.16299438,-64.89600372,2/5/2015 10:29,131146,Traveling
-64.13000488,-64.91200256,2/5/2015 11:12,131146,Traveling
-64.14300537,-64.91200256,2/5/2015 11:14,131146,Traveling
-64.1000061,-64.90799713,2/5/2015 12:11,131146,Area-restricted Search
-64.04501343,-64.88899994,2/5/2015 13:05,131146,Area-restricted Search
-64.00500488,-64.88800049,2/5/2015 13:53,131146,Area-restricted Search
-64.47601318,-65.48100281,2/1/2015 19:09,131147,Area-restricted Search
-64.48599243,-65.46700287,2/1/2015 19:43,131147,Area-restricted Search
-64.25601196,-65.39299774,2/2/2015 0:06,131147,Area-restricted Search
-64.24899292,-65.38700104,2/2/2015 0:12,131147,Area-restricted Search
-64.23300171,-65.36699677,2/2/2015 0:48,131147,Area-restricted Search
-64.17999268,-65.31900024,2/2/2015 1:46,131147,Traveling
-64.16598511,-65.31900024,2/2/2015 1:49,131147,Traveling
